mileage,make,model,fuel,gear,offerType,price,hp,year
119448,BMW,3 Series,Petrol,Manual,Used,9001,117.0,2014
92466,Peugeot,208,Petrol,Automatic,Used,3888,60.0,2013
84056,SEAT,Ateca,Electric,Manual,New,12912,114.0,2016
27205,Opel,Insignia,Diesel,Automatic,Used,7114,59.0,2018
125291,Opel,Mokka,Petrol,Manual,Used,3926,118.0,2013
500,Toyota,C-HR,Petrol,Manual,Used,12394,142.0,2019
20520,BMW,5 Series,Diesel,Automatic,Used,21115,175.0,2018
201237,Renault,Kadjar,Diesel,Manual,Used,3020,102.0,2012
44064,Mercedes-Benz,A-Class,Petrol,Automatic,Used,33866,164.0,2021
211166,BMW,5 Series,Diesel,Manual,Used,3703,64.0,2011
108570,Skoda,Kodiaq,Petrol,Automatic,Used,7927,170.0,2018
128555,Hyundai,i20,Petrol,Automatic,Used,5186,154.0,2015
44150,Renault,Captur,Petrol,Manual,Used,9918,76.0,2018
8696,Peugeot,508,Diesel,Automatic,Used,11374,152.0,2019
100136,Renault,Captur,Hybrid,Manual,Used,8306,161.0,2018
62260,Peugeot,508,Petrol,Manual,Used,8029,116.0,2018
117291,Skoda,Octavia,Petrol,Manual,Used,7481,77.0,2020
47222,BMW,X3,Petrol,Automatic,Used,14303,135.0,2018
114051,Toyota,C-HR,Petrol,Automatic,Used,9227,153.0,2019
99512,Opel,Insignia,Hybrid,Semi-automatic,Used,6580,72.0,2015
181762,Skoda,Kodiaq,Petrol,Automatic,Used,4026,77.0,2013
194384,Ford,Fiesta,Petrol,Manual,Used,3836,130.0,2013
39197,Mercedes-Benz,A-Class,Diesel,Automatic,Used,15894,163.0,2017
73025,Hyundai,i30,Diesel,Semi-automatic,Used,7137,207.0,2016
128846,Peugeot,508,Petrol,Automatic,Used,3846,150.0,2011
91952,SEAT,Ibiza,Diesel,Automatic,Used,4442,68.0,2013
38347,Ford,Fiesta,Petrol,Automatic,Used,14428,222.0,2021
53118,Peugeot,208,Hybrid,Manual,Used,8313,159.0,2018
46833,Skoda,Superb,Petrol,Automatic,Used,12292,50.0,2019
154468,Opel,Astra,Diesel,Semi-automatic,Used,3206,61.0,2013
99991,Opel,Corsa,Petrol,Automatic,Used,3817,98.0,2011
165037,Mercedes-Benz,GLC,Diesel,Manual,Used,9047,146.0,2014
17782,BMW,5 Series,Petrol,Manual,Used,21280,50.0,2020
108634,Skoda,Octavia,Petrol,Semi-automatic,Used,7373,105.0,2016
66725,Toyota,Yaris,Petrol,Automatic,Used,11351,163.0,2019
137978,Volkswagen,Golf,Petrol,Automatic,Used,7170,50.0,2016
86330,Toyota,C-HR,Petrol,Automatic,Used,6642,159.0,2016
673,Peugeot,3008,Diesel,Manual,Used,8581,150.0,2017
16999,Audi,Q5,Diesel,Automatic,Demonstration,38091,92.0,2021
112025,SEAT,Ibiza,Diesel,Manual,Used,5596,57.0,2015
38801,BMW,5 Series,Electric,Manual,Demonstration,24295,72.0,2017
20162,Peugeot,208,Diesel,Manual,Used,10232,50.0,2021
92364,Renault,Megane,Diesel,Manual,Used,4355,94.0,2015
500,Ford,Kuga,Diesel,Manual,Used,13351,124.0,2020
113502,Volkswagen,Tiguan,Diesel,Automatic,Used,7435,70.0,2016
10270,Hyundai,i30,Diesel,Manual,Used,16118,158.0,2020
75777,Opel,Mokka,Petrol,Automatic,Used,6855,130.0,2016
58810,Toyota,RAV4,Diesel,Manual,Used,9898,123.0,2017
163242,Renault,Megane,Petrol,Automatic,Used,3691,105.0,2014
73568,Peugeot,508,Diesel,Manual,Used,7557,144.0,2017
122768,Peugeot,308,Petrol,Automatic,Used,4003,181.0,2014
59578,Mercedes-Benz,C-Class,Diesel,Automatic,Used,13022,108.0,2017
61200,Ford,Mondeo,Petrol,Manual,Used,10887,147.0,2019
152226,Opel,Mokka,Hybrid,Manual,Used,4391,144.0,2015
127675,Opel,Astra,Diesel,Manual,Used,3587,128.0,2015
144040,Volkswagen,Tiguan,Hybrid,Manual,Used,4773,183.0,2014
66218,Skoda,Kodiaq,Diesel,Manual,Used,11019,80.0,2019
26692,BMW,1 Series,Petrol,Manual,Used,15796,92.0,2017
59336,Renault,Megane,Petrol,Automatic,Used,6938,90.0,2016
157825,Renault,Captur,Diesel,Manual,Used,2715,138.0,2011
124595,Hyundai,Tucson,Petrol,Manual,Used,3924,94.0,2012
127741,Renault,Captur,Diesel,Manual,Used,2819,74.0,2011
500,Ford,Kuga,Petrol,Manual,Used,14294,189.0,2020
500,Hyundai,Tucson,Diesel,Manual,Used,14972,195.0,2020
156022,Ford,Kuga,Electric,Automatic,Used,4343,105.0,2011
162570,Audi,A6,Diesel,Automatic,Used,5807,58.0,2011
17243,Toyota,RAV4,Electric,Manual,Used,19908,197.0,2019
92762,Ford,Focus,Diesel,Manual,Used,7258,131.0,2016
104816,Volkswagen,Golf,Petrol,Manual,Used,5567,127.0,2014
113170,Opel,Mokka,Diesel,Automatic,Used,5675,131.0,2017
129343,Peugeot,508,Diesel,Manual,Used,3475,71.0,2013
159372,Mercedes-Benz,A-Class,Diesel,Automatic,Used,7932,103.0,2013
112112,Opel,Astra,Petrol,Automatic,Used,5748,154.0,2015
500,BMW,1 Series,Diesel,Automatic,Used,27148,109.0,2020
41827,Renault,Clio,Petrol,Manual,Used,11256,132.0,2019
91753,Opel,Corsa,Hybrid,Automatic,Used,5065,123.0,2013
71216,Audi,A4,Diesel,Manual,Used,13677,63.0,2017
3920,Mercedes-Benz,C-Class,Diesel,Manual,Used,27395,187.0,2020
28369,Skoda,Kodiaq,Diesel,Automatic,Used,15732,157.0,2021
500,Renault,Captur,Diesel,Automatic,Used,11778,143.0,2019
150515,Hyundai,i30,Petrol,Manual,Used,3200,131.0,2012
155035,Opel,Insignia,Petrol,Manual,Used,2942,50.0,2013
166766,BMW,3 Series,Diesel,Manual,Demonstration,6808,85.0,2013
123254,Peugeot,308,Diesel,Automatic,Used,4102,52.0,2012
150621,SEAT,Ateca,Petrol,Manual,Used,2754,112.0,2012
126445,Renault,Megane,Diesel,Manual,Used,4156,123.0,2014
129149,BMW,1 Series,Petrol,Manual,Used,9156,117.0,2017
53153,Audi,A3,Hybrid,Semi-automatic,Used,16057,162.0,2015
73111,Peugeot,208,Diesel,Automatic,Used,5548,57.0,2015
233156,Peugeot,3008,Petrol,Manual,Used,1881,71.0,2013
140442,Opel,Mokka,Petrol,Automatic,Used,3722,140.0,2012
500,Peugeot,308,Petrol,Manual,Used,9101,127.0,2021
54611,Toyota,Yaris,Petrol,Automatic,Used,10080,67.0,2017
38089,Ford,Mondeo,Petrol,Automatic,Used,7741,176.0,2013
53432,Toyota,Corolla,Petrol,Manual,New,19412,182.0,2019
58342,Audi,A3,Petrol,Automatic,Used,17279,148.0,2020
500,Mercedes-Benz,A-Class,Petrol,Semi-automatic,Used,25790,50.0,2021
133525,Renault,Megane,Petrol,Manual,Used,3749,113.0,2012
92328,SEAT,Arona,Petrol,Manual,Used,8748,127.0,2018
500,BMW,5 Series,Diesel,Automatic,Used,32903,118.0,2021
500,Peugeot,3008,Petrol,Manual,New,20062,174.0,2019
127016,Mercedes-Benz,A-Class,Diesel,Automatic,Used,8595,,2013
3668,Peugeot,208,Diesel,Manual,Used,13066,209.0,2020
94715,Volkswagen,Polo,Diesel,Automatic,Used,7607,159.0,2015
45769,Peugeot,208,Diesel,Automatic,Used,5749,137.0,2016
82501,Peugeot,3008,Petrol,Semi-automatic,Used,6639,152.0,2017
39777,Peugeot,508,Diesel,Manual,Demonstration,8267,182.0,2019
169222,SEAT,Arona,Petrol,Semi-automatic,Used,3183,146.0,2012
97014,Opel,Corsa,Petrol,Manual,Used,4274,107.0,2016
52234,Renault,Megane,Diesel,Automatic,Used,9317,98.0,2019
24379,Audi,A6,Diesel,Automatic,Used,16459,76.0,2017
137241,Peugeot,3008,Petrol,Manual,Used,3021,50.0,2014
153420,Skoda,Kodiaq,Petrol,Automatic,Used,4247,128.0,2011
69169,Opel,Astra,Diesel,Manual,Used,5828,94.0,2017
96689,Skoda,Octavia,Diesel,Manual,Used,7728,97.0,2018
49820,Skoda,Fabia,Diesel,Automatic,Used,8979,172.0,2017
62291,Volkswagen,Polo,Diesel,Manual,Used,15687,110.0,2021
125557,BMW,5 Series,Diesel,Automatic,Used,13275,211.0,2017
116347,Mercedes-Benz,GLC,Hybrid,Manual,Used,11803,84.0,2016
130678,BMW,3 Series,Diesel,Manual,Demonstration,5533,61.0,2011
500,Opel,Mokka,Diesel,Automatic,Used,11329,69.0,2017
187759,Renault,Captur,Electric,Manual,Used,4271,139.0,2012
63898,SEAT,Ateca,Petrol,Semi-automatic,Demonstration,11668,164.0,2018
123918,Opel,Insignia,Petrol,Semi-automatic,Used,2962,79.0,2012
71075,Toyota,Yaris,Petrol,Manual,Used,10802,66.0,2020
89845,Skoda,Superb,Hybrid,Manual,Used,7414,177.0,2014
90155,Volkswagen,Golf,Diesel,Manual,Used,6296,50.0,2015
168371,Peugeot,3008,Diesel,Automatic,Used,2894,166.0,2012
96024,Skoda,Superb,Electric,Manual,Used,7944,81.0,2013
11168,SEAT,Ateca,Petrol,Automatic,Demonstration,16649,148.0,2021
158120,Skoda,Fabia,Hybrid,Semi-automatic,Used,4541,156.0,2014
97389,Skoda,Fabia,Diesel,Manual,Used,7829,131.0,2016
58660,BMW,5 Series,Hybrid,Automatic,Used,23325,117.0,2021
114676,Skoda,Octavia,Diesel,Manual,Used,5593,174.0,2017
165271,Peugeot,3008,Petrol,Automatic,Used,2579,133.0,2011
38214,Audi,A3,Electric,Manual,Used,17239,274.0,2014
66298,SEAT,Leon,Diesel,Automatic,Used,6827,50.0,2015
146717,Volkswagen,Passat,Diesel,Manual,New,7052,50.0,2014
80741,Ford,Focus,Petrol,Automatic,Used,6823,167.0,2013
78566,Opel,Mokka,Petrol,Manual,New,7359,109.0,2016
116847,Hyundai,i30,Diesel,Automatic,Used,5508,160.0,2015
171435,Mercedes-Benz,C-Class,Electric,Automatic,Used,11810,74.0,2014
84874,Audi,A6,Diesel,Automatic,Used,13793,126.0,2015
97478,Ford,Kuga,Diesel,Automatic,Used,5790,144.0,2014
133164,Hyundai,Tucson,Diesel,Manual,Used,4250,83.0,2013
117282,Toyota,C-HR,Electric,Manual,Used,7775,119.0,2015
9601,Volkswagen,Polo,Diesel,Manual,Used,14181,54.0,2021
126724,Mercedes-Benz,GLC,Petrol,Automatic,Used,15224,143.0,2016
47030,Peugeot,308,Diesel,Manual,Used,7396,176.0,2017
19206,Volkswagen,Passat,,Manual,Used,21061,59.0,2021
90582,Toyota,Yaris,Petrol,Automatic,Used,7131,68.0,2017
120992,Audi,A6,Diesel,Manual,Used,9427,161.0,2013
134390,Hyundai,i30,Diesel,Automatic,Used,4332,65.0,2015
95214,Audi,A6,Diesel,Manual,Used,14816,148.0,2016
117610,Opel,Mokka,Diesel,Manual,Used,5809,112.0,2016
